rank,CHP_ID,Chinese_herbal_pieces,high_quality_avg,total_compounds,effective_count,high_quality_count,ultra_high_count
51,CHP05357,芸薹,1.0,2.0,2.0,1.0,1.0
52,CHP05302,元宝草,1.0,8.0,8.0,1.0,1.0
53,CHP05304,圆柏,1.0,5.0,5.0,5.0,5.0
54,CHP00245,蓖麻油,1.0,7.0,7.0,1.0,1.0
55,CHP00247,薜荔,1.0,2.0,2.0,2.0,2.0
56,CHP00251,边缘鳞盖蕨,1.0,14.0,14.0,6.0,6.0
57,CHP05403,樟梨,1.0,5.0,5.0,3.0,3.0
58,CHP05364,仔榄树,1.0,2.0,2.0,2.0,2.0
59,CHP05373,皂角刺,1.0,2.0,2.0,1.0,1.0
60,CHP05377,泽漆,1.0,39.0,39.0,25.0,25.0
61,CHP00254,鞭打绣球,1.0,1.0,1.0,1.0,1.0
62,CHP00261,扁桃斑鸠菊,1.0,2.0,2.0,2.0,2.0
63,CHP05427,长管香茶菜,1.0,22.0,22.0,15.0,15.0
64,CHP05435,长尾复叶耳蕨,1.0,1.0,1.0,1.0,1.0
65,CHP05450,照山白,1.0,2.0,2.0,1.0,1.0
66,CHP05461,鹧鸪菜,1.0,1.0,1.0,1.0,1.0
67,CHP05380,泽泻,1.0,24.0,24.0,23.0,23.0
68,CHP05392,粘毛鼠尾草,1.0,4.0,4.0,2.0,2.0
69,CHP05205,迎春花,1.0,13.0,13.0,9.0,9.0
