rank,CHP_ID,Chinese_herbal_pieces,comprehensive_score,total_score,effective_avg,high_quality_avg,ultra_high_count,high_quality_ratio
909,CHP02507,萝芙木,0.3855398194825717,19.645357980000004,0.701619927857143,0.8594807745454546,1.0,0.39285714285714285
910,CHP03659,蛇藤,0.38546146371730494,2.3098053,0.7699351,0.8993241,0.0,0.3333333333333333
911,CHP00729,灯盏细辛,0.38516874283835956,12.68991493,0.7464655841176471,0.8263387785714286,0.0,0.4117647058823529
912,CHP00106,白蜡树皮,0.3850238026084371,54.676266489999996,0.6667837376829268,0.8504500460869566,2.0,0.2804878048780488
913,CHP01596,华千金藤,0.38495305492067633,6.08314567,0.76039320875,0.8584217199999999,1.0,0.375
914,CHP03871,水龙骨,0.38487044480466126,16.785210369999998,0.6714084147999999,0.85744929,2.0,0.44
915,CHP04848,血风藤,0.3845943966767191,7.72812798,0.772812798,0.823231855,0.0,0.4
916,CHP03732,石榴皮,0.38451067322677956,13.508446509999999,0.7504692505555555,0.8715115883333334,1.0,0.3333333333333333
917,CHP01340,海南粗榧,0.3842406061640494,24.990413800000002,0.6941781611111112,0.8794360599999999,3.0,0.3333333333333333
918,CHP02489,罗布麻叶,0.3841409254053773,18.013455560000004,0.7205382224000002,0.8603922766666667,2.0,0.36
919,CHP01550,虎刺,0.38413283060900666,13.01777576,0.7657515152941176,0.8819568600000001,2.0,0.29411764705882354
920,CHP02796,米仔兰,0.38409236365128396,8.748212440000001,0.7290177033333335,0.8484624760000001,0.0,0.4166666666666667
921,CHP02218,莨菪根,0.3839591435034683,2.7455562,0.68638905,0.8488402500000001,0.0,0.5
922,CHP00137,白屈菜,0.3837995282960097,37.10472838999999,0.6397366963793102,0.8891799083333333,8.0,0.3103448275862069
923,CHP05295,芋头,0.38362106651472744,3.16619105,0.7915477625,0.92452085,1.0,0.25
924,CHP03135,蒲黄,0.383593678480791,8.11673246,0.6763943716666666,0.8382926650000001,0.0,0.5
925,CHP00418,川西獐牙菜,0.3835323875767093,1.39904547,0.699522735,0.83826447,0.0,0.5
