rank,CHP_ID,Chinese_herbal_pieces,total_score,total_compounds,effective_count,high_quality_count,ultra_high_count
1284,CHP01122,甘葛藤根,2.15760331,3.0,3.0,0.0,0.0
1285,CHP04462,锡兰肉桂,2.15542416,3.0,3.0,0.0,0.0
1286,CHP03273,秋枫木,2.1494047,3.0,3.0,1.0,0.0
1287,CHP03050,欧当归,2.14753474,3.0,3.0,1.0,1.0
1288,CHP00640,当药,2.1470603,3.0,3.0,0.0,0.0
1289,CHP01430,红花龙胆,2.13875729,3.0,3.0,1.0,0.0
1290,CHP05638,紫花景天,2.13344904,3.0,3.0,1.0,0.0
1291,CHP00308,藏青果,2.13232824,3.0,3.0,1.0,0.0
1292,CHP05428,长果荜茇,2.1298885899999997,4.0,4.0,0.0,0.0
1293,CHP03270,苘麻子,2.1097212,3.0,3.0,1.0,0.0
1294,CHP02749,玫瑰,2.10881728,3.0,3.0,1.0,0.0
1295,CHP01083,扶桑花,2.0972838400000002,3.0,3.0,0.0,0.0
1296,CHP00101,白芥,2.0884804,3.0,3.0,0.0,0.0
1297,CHP02739,茅膏菜,2.08048182,3.0,3.0,2.0,0.0
1298,CHP01858,见血清,2.0625973,3.0,3.0,1.0,0.0
1299,CHP03653,蛇莓,2.05380197,3.0,3.0,0.0,0.0
1300,CHP04851,血竭,2.05330243,4.0,4.0,1.0,0.0
1301,CHP01387,黑水翠雀,2.05258637,3.0,3.0,0.0,0.0
1302,CHP01054,枫香寄生,2.03585737,3.0,3.0,1.0,0.0
1303,CHP04378,无距耧斗菜,2.03137747,3.0,3.0,0.0,0.0
1304,CHP05983,全蝎,2.02576114,3.0,3.0,1.0,0.0
1305,CHP06092,茯神,2.01842743,3.0,3.0,1.0,0.0
1306,CHP02878,木槿花,2.00915311,3.0,3.0,1.0,1.0
1307,CHP02633,蔓性千斤拔,2.00642624,3.0,3.0,1.0,0.0
1308,CHP00330,茶花,2.00208931,3.0,3.0,0.0,0.0
1309,CHP02333,亮叶桦皮,1.97380465,3.0,3.0,0.0,0.0
1310,CHP00234,贝加尔唐松草,1.96262462,4.0,4.0,0.0,0.0
1311,CHP04460,西洋梨,1.9569570399999998,3.0,3.0,1.0,0.0
1312,CHP05548,猪毛蒿,1.9495586299999998,3.0,3.0,1.0,1.0
1313,CHP00381,赤麻,1.9452615999999998,3.0,3.0,1.0,0.0
1314,CHP06033,乌梢蛇,1.9339990000000002,3.0,3.0,2.0,0.0
1315,CHP02582,马蔺子,1.9263682400000002,3.0,3.0,0.0,0.0
1316,CHP02085,苦芺,1.92461166,3.0,3.0,0.0,0.0
1317,CHP03159,桤木,1.88419924,3.0,3.0,1.0,0.0
1318,CHP04527,仙人掌,1.88384366,3.0,3.0,1.0,0.0
1319,CHP00373,齿叶草,1.8799013500000001,3.0,3.0,1.0,0.0
1320,CHP01665,黄花铁线莲,1.87482032,3.0,3.0,1.0,0.0
1321,CHP02456,陆地棉,1.87134492,3.0,3.0,0.0,0.0
1322,CHP05843,海燕,1.86938194,2.0,2.0,2.0,2.0
1323,CHP00649,倒吊笔,1.86481245,2.0,2.0,2.0,2.0
1324,CHP02563,马槟榔,1.8579044599999999,2.0,2.0,2.0,2.0
1325,CHP00662,稻芽,1.8567390000000001,2.0,2.0,2.0,2.0
1326,CHP00351,朝鲜白头翁,1.83520864,3.0,3.0,1.0,0.0
1327,CHP02182,兰花,1.8317279000000002,3.0,3.0,0.0,0.0
1328,CHP00854,毒蛆草,1.83127334,3.0,3.0,1.0,0.0
1329,CHP02998,牛角瓜,1.82039404,2.0,2.0,2.0,2.0
1330,CHP05791,穿山甲,1.81671705,3.0,3.0,1.0,0.0
1331,CHP06038,犀角,1.8086598,2.0,2.0,2.0,1.0
1332,CHP00210,半夏曲,1.80456255,2.0,2.0,2.0,1.0
1333,CHP01359,河套大黄,1.8005949600000002,2.0,2.0,2.0,1.0
1334,CHP00261,扁桃斑鸠菊,1.79494097,2.0,2.0,2.0,1.0
1335,CHP03257,青羊参,1.79413622,2.0,2.0,2.0,1.0
1336,CHP05670,紫萁,1.7823717000000001,2.0,2.0,2.0,1.0
1337,CHP02120,苦楝实,1.78147375,3.0,3.0,0.0,0.0
1338,CHP02914,苜蓿根,1.7702489,2.0,2.0,2.0,1.0
1339,CHP00993,番石榴皮,1.7632963,2.0,2.0,2.0,0.0
1340,CHP02925,南瓜,1.75860663,3.0,3.0,0.0,0.0
1341,CHP01953,金腰,1.74699284,3.0,3.0,1.0,0.0
1342,CHP05877,鸡胆,1.746365,2.0,2.0,2.0,1.0
1343,CHP01748,黄紫堇,1.74463867,3.0,3.0,0.0,0.0
1344,CHP03223,青黛,1.72420425,2.0,2.0,2.0,0.0
1345,CHP01123,甘菊,1.7239668,2.0,2.0,2.0,0.0
1346,CHP02306,莲蓬草,1.70567491,3.0,3.0,0.0,0.0
1347,CHP01172,高山唐松草,1.7011292,3.0,3.0,0.0,0.0
1348,CHP00366,橙皮,1.69755043,3.0,3.0,0.0,0.0
1349,CHP05841,海螵蛸,1.69233386,2.0,2.0,1.0,1.0
1350,CHP05361,芸香草,1.6862271500000001,4.0,4.0,0.0,0.0
1351,CHP01480,红雀珊瑚,1.6823663,2.0,2.0,1.0,0.0
1352,CHP05621,紫菜,1.67679466,2.0,2.0,2.0,0.0
1353,CHP00541,大青,1.6756538,2.0,2.0,1.0,1.0
1354,CHP00247,薜荔,1.6753279,2.0,2.0,2.0,0.0
1355,CHP05364,仔榄树,1.66944266,2.0,2.0,2.0,0.0
1356,CHP06099,红曲,1.6676716699999998,2.0,2.0,1.0,0.0
1357,CHP02784,猕猴桃,1.6663088400000001,2.0,2.0,1.0,0.0
1358,CHP04021,锁阳,1.6579270400000001,2.0,2.0,2.0,0.0
1359,CHP03053,欧鼠李,1.6578154,2.0,2.0,2.0,0.0
1360,CHP06080,豹皮菇,1.6570132000000002,3.0,3.0,0.0,0.0
1361,CHP01708,黄缅桂,1.6476802,2.0,2.0,1.0,0.0
1362,CHP03254,青葙,1.64746179,3.0,3.0,0.0,0.0
1363,CHP02339,蓼实,1.64578345,2.0,2.0,1.0,0.0
1364,CHP01144,干冬菜,1.64161864,2.0,2.0,1.0,1.0
1365,CHP01463,红毛野海棠,1.6371925,2.0,2.0,1.0,0.0
1366,CHP05804,蜂房,1.6353318099999998,4.0,4.0,0.0,0.0
1367,CHP04746,小叶石楠,1.6295948,2.0,2.0,1.0,0.0
1368,CHP04238,土木香,1.62542364,2.0,2.0,1.0,0.0
1369,CHP01525,胡桃叶,1.6240941,2.0,2.0,1.0,0.0
1370,CHP04367,无根藤,1.6238504,4.0,4.0,0.0,0.0
1371,CHP00057,白草莓,1.61953775,2.0,2.0,1.0,0.0
1372,CHP05383,泽珍珠菜,1.61882925,2.0,2.0,1.0,0.0
1373,CHP05919,鹿角,1.6149965000000002,2.0,2.0,1.0,0.0
1374,CHP06167,硫磺,1.6141805,2.0,2.0,1.0,0.0
1375,CHP04358,乌苏里瓦韦,1.60928915,2.0,2.0,1.0,1.0
1376,CHP02540,绿玉树,1.6047966,2.0,2.0,1.0,0.0
1377,CHP04052,唐古特青兰,1.6047207,2.0,2.0,1.0,0.0
1378,CHP01555,虎尾兰,1.5940819,2.0,2.0,1.0,0.0
1379,CHP05357,芸薹,1.5892139,2.0,2.0,1.0,1.0
1380,CHP01675,黄堇,1.5883808099999999,3.0,3.0,1.0,0.0
1381,CHP02597,马先蒿,1.58737464,2.0,2.0,1.0,0.0
1382,CHP02567,马蛋果,1.58701294,2.0,2.0,1.0,1.0
1383,CHP04344,乌桕木根皮,1.58046216,2.0,2.0,1.0,0.0
1384,CHP02844,牡蒿,1.57702104,2.0,2.0,1.0,0.0
1385,CHP01712,黄皮根,1.5743133999999999,2.0,2.0,1.0,0.0
1386,CHP00319,草莓,1.5707016,2.0,2.0,1.0,1.0
1387,CHP04169,铁线莲,1.5704284,2.0,2.0,1.0,1.0
1388,CHP04114,甜茶,1.5671256,2.0,2.0,1.0,1.0
1389,CHP02062,咖啡,1.5646139,2.0,2.0,1.0,0.0
1390,CHP02746,茅香,1.56453356,2.0,2.0,1.0,0.0
1391,CHP00272,滨海前胡,1.56314573,2.0,2.0,0.0,0.0
1392,CHP03456,沙枣树皮,1.56281561,2.0,2.0,1.0,1.0
1393,CHP04253,兔儿伞,1.5615229,2.0,2.0,1.0,0.0
1394,CHP03772,柿根,1.5570575,2.0,2.0,1.0,0.0
1395,CHP05581,竹叶柴胡,1.5547198999999998,2.0,2.0,1.0,1.0
1396,CHP05313,圆叶茅膏菜,1.548546,2.0,2.0,1.0,0.0
1397,CHP05010,椰子瓤,1.54833162,2.0,2.0,1.0,0.0
1398,CHP00156,白叶藤,1.5477989399999998,2.0,2.0,1.0,0.0
1399,CHP03550,山柳,1.5447395,2.0,2.0,1.0,1.0
1400,CHP02644,芒萁骨,1.54446675,2.0,2.0,1.0,0.0
1401,CHP06067,雉,1.5439151,2.0,2.0,1.0,0.0
1402,CHP03107,偏翅唐松草,1.54096472,3.0,3.0,0.0,0.0
1403,CHP01375,黑豆衣,1.5375152399999998,2.0,2.0,1.0,0.0
1404,CHP04070,桃子,1.5374101,2.0,2.0,1.0,1.0
1405,CHP06073,紫河车,1.53555654,2.0,2.0,1.0,0.0
1406,CHP00141,白薯莨,1.53318743,2.0,2.0,1.0,0.0
1407,CHP03918,水杨梅,1.53132275,2.0,2.0,1.0,0.0
1408,CHP00332,茶条槭,1.5310485699999998,2.0,2.0,1.0,0.0
1409,CHP02293,栗树皮,1.5305323,2.0,2.0,1.0,0.0
1410,CHP02649,莽草根,1.5272812299999998,2.0,2.0,1.0,0.0
1411,CHP04698,小米草,1.5249798700000001,2.0,2.0,1.0,0.0
